First Term Gpa' numeric,Second Term Gpa' numeric,First Language' numeric, Funding numeric,School numeric,FastTrack numeric,Coop numeric, Residency numeric,Gender numeric,Previous Education' numeric,Age Group' numeric,High School Average Mark' numeric,Math Score' numeric,English Grade' numeric,"FirstYearPersistence {1,0}"
4.065217,3.72,1,2,6,1,1,1,2,2,3,74,?,9,1
1.526316,0.157895,1,2,6,2,2,1,2,1,2,48,21,7,0
1.710526,0.346154,2,2,6,2,1,1,2,1,2,63,10,7,0
2.956522,3.52381,3,4,6,2,2,2,1,2,1,?,35,8,1
2.157895,3.552632,3,4,6,2,1,2,2,1,2,75,49,8,1
4.02381,4.184211,3,2,6,2,2,1,2,2,5,?,44,10,0
1.975,0,1,2,6,2,2,1,2,1,3,69,?,9,1
0.4375,0,1,2,6,2,2,1,2,1,1,72,20,7,0
3.925,3.02381,1,2,6,2,2,1,2,0,4,?,39,7,1
2.571429,2.388889,1,2,6,2,1,1,2,1,1,87,38,9,1
3.4,3.326087,1,2,6,2,2,1,2,1,3,79,35,3,1
3.521739,3.288462,3,4,6,1,2,2,1,1,3,?,?,7,1
0.543478,0,3,4,6,2,2,2,2,1,3,?,27,?,1
2.369565,2.6875,1,2,6,2,1,1,1,1,1,86,22,10,1
3.347826,2.704545,3,4,6,2,2,2,1,1,1,?,31,4,1
3.456522,2.98,3,4,6,1,2,2,2,2,3,?,?,9,1
?,?,3,4,6,2,2,2,1,1,1,?,19,7,0
3.880952,3.434783,1,2,6,2,1,1,2,1,1,82,42,9,1
1.541667,1.934783,1,2,6,2,2,1,2,1,1,74,24,9,1
3.56,3.318182,1,2,6,2,1,1,2,1,1,80,29,9,1
0.157895,0,1,2,6,2,1,1,2,1,1,77,19,7,0
3.854167,3.66,?,4,6,2,2,2,2,1,2,?,49,8,1
2.58,2.282609,1,2,6,2,2,1,2,1,2,67,19,7,1
3.882353,3.605263,1,2,6,2,2,1,2,2,3,84,25,9,1
2.210526,2.363636,1,8,6,2,2,1,2,1,7,?,16,9,1
4.217391,4.333333,3,2,6,2,2,1,1,2,7,?,46,10,1
3.354167,3.681818,1,2,6,2,2,1,2,1,2,81,20,7,1
2.928571,2.375,1,2,6,2,1,1,2,1,3,65,36,9,1
3.452381,1.090909,3,4,6,2,1,2,2,1,3,?,47,10,1
3.068182,2.977273,1,2,6,2,1,1,2,1,2,77,32,?,1
3.818182,3.75,3,4,6,2,2,2,2,1,2,?,47,10,1
1.230769,1.625,1,2,6,2,2,1,2,1,1,72,23,7,1
3.916667,3.815789,1,2,6,2,2,1,2,1,1,93,39,9,1
1.176471,1.95,1,2,6,2,1,1,2,1,2,52,16,7,1
2.275,1.9,3,4,6,1,2,2,2,2,3,?,?,4,0
3.875,4.119048,1,2,6,2,2,1,2,1,1,85,40,10,1
1.568182,?,1,2,6,2,2,1,2,0,3,60,29,8,0
4.434783,4.46,1,2,6,1,2,1,1,2,3,?,?,9,1
2.416667,2.365385,3,4,6,1,2,2,1,1,3,?,?,7,1
1.59375,2.978261,3,2,6,2,1,1,2,1,1,?,36,7,1
2.304348,1.809524,3,4,6,1,2,2,2,2,3,?,?,8,1
3.5,3.5,3,4,6,1,2,2,1,2,3,?,?,4,1
0,?,1,2,6,2,2,1,2,1,1,77,29,7,0
4.095238,3.97619,1,2,6,2,2,1,1,1,1,102,?,9,1
3.354167,3.821429,3,4,6,1,2,2,2,2,3,?,?,8,1
0,?,3,4,6,1,2,2,2,2,3,?,?,8,0
3.083333,3.522727,1,2,6,2,1,1,2,1,3,96,42,9,0
4.261905,4.340909,1,8,6,2,2,1,2,2,8,?,38,9,1
4.23913,4,1,2,6,2,1,1,1,2,3,92,26,9,1
2.9,2.886364,3,4,6,1,2,2,2,2,3,?,?,8,1
3.5,3.692308,3,4,6,1,2,2,1,2,4,?,?,8,1
